종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","3105","-55","-1.74","16","194.06",,,"792","3.92","0","0.00"
"095570","AJ네트웍스 ","5560","20","0.36",,,,,"6089","0.91","210","3.78"
"006840","AK홀딩스 ","20300","-350","-1.69",,,,,"50471","0.40","400","1.97"
"054620","APS홀딩스 ","11850","-200","-1.66",,,,,"8135","1.46","0","0.00"
"265520","AP시스템 ","24000","250","1.05","1736","13.82","3190","7.52","9041","2.65","120","0.50"
"211270","AP위성 ","13750","-50","-0.36",,,,,"5321","2.58","70","0.51"
"027410","BGF ","5220","10","0.19","285","18.32","150","34.76","15781","0.33","110","2.11"
"282330","BGF리테일 ","174500","7000","4.18","7103","24.57","10771","16.20","40317","4.33","2400","1.38"
"032790","BNGT ","4075","0","0.00",,,,,"1038","3.93","0","0.00"
"138930","BNK금융지주 ","7360","-110","-1.47","1498","4.91","2695","2.73","26781","0.27","320","4.35"
"001460","BYC ","452500","-3000","-0.66","21904","20.66",,,"538911","0.84","1100","0.24"
"001465","BYC우 ","173000","500","0.29",,,,,,,"1150","0.66"
"013720","CBI ","2710","50","1.88",,,,,"485","5.59","0","0.00"
"001040","CJ ","79600","-900","-1.12","2581","30.84","11864","6.71","130202","0.61","2000","2.51"
"079160","CJ CGV ","25350","-250","-0.98",,,,,"3812","6.65","0","0.00"
"035760","CJ ENM ","124400","-1900","-1.50","2870","43.34","10023","12.41","156746","0.79","1600","1.29"
"311690","CJ 바이오사이언스 ","38200","150","0.39",,,,,"8859","4.31","0","0.00"
"00104K","CJ4우(전환) ","71100","-700","-0.97",,,,,,,"2000","2.81"
"000120","CJ대한통운 ","129000","-1000","-0.77","5683","22.70","7588","17.00","146331","0.88","0","0.00"
"011150","CJ씨푸드 ","3890","-120","-2.99","58","67.07",,,"1823","2.13","0","0.00"
"011155","CJ씨푸드1우 ","37400","-1100","-2.86",,,,,,,"0","0.00"
"001045","CJ우 ","48200","-100","-0.21",,,,,,,"2050","4.25"
"097950","CJ제일제당 ","348000","-7500","-2.11","42783","8.13","42130","8.26","321970","1.08","4000","1.15"
"097955","CJ제일제당 우 ","160000","-3000","-1.84",,,,,,,"4050","2.53"
"051500","CJ프레시웨이 ","38650","-1500","-3.74",,,"3808","10.15","15839","2.44","0","0.00"
"058820","CMG제약 ","3195","0","0.00","2","1597.50",,,"1304","2.45","0","0.00"
"023460","CNH ","2105","-45","-2.09","824","2.55",,,"3446","0.61","50","2.38"
"056730","CNT85 ","1550","0","0.00",,,,,"319","4.86","0","0.00"
"056000","COWON ","2860","0","0.00","20","143.00",,,"1435","1.99","0","0.00"
"065770","CS ","2230","-90","-3.88","9","247.78",,,"1170","1.91","0","0.00"
"083660","CSA 코스믹 ","2185","0","0.00",,,,,"313","6.98","0","0.00"
"000590","CS홀딩스 ","68100","-1100","-1.59","6657","10.23",,,"210057","0.32","500","0.73"
"012030","DB ","896","37","4.31","33","27.15",,,"1559","0.57","0","0.00"
"404950","DB금융스팩10호 ","2100","5","0.24",,,,,,,"0","0.00"
"367340","DB금융스팩8호 ","2110","-10","-0.47",,,,,,,"0","0.00"
"367360","DB금융스팩9호 ","2135","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","6080","-30","-0.49","2327","2.61",,,"18855","0.32","300","4.93"
"005830","DB손해보험 ","56200","-800","-1.40","9171","6.13","10759","5.22","90596","0.62","2200","3.91"
"000990","DB하이텍 ","69500","1700","2.51","3822","18.18","11621","5.98","17851","3.89","350","0.50"
"000995","DB하이텍1우 ","93900","-1100","-1.16",,,,,,,"400","0.43"
"139130","DGB금융지주 ","8810","-120","-1.34","1908","4.62","3186","2.77","29493","0.30","390","4.43"
"001530","DI동일 ","261500","-2000","-0.76","10465","24.99","20406","12.81","194867","1.34","1500","0.57"
"000210","DL ","57000","-400","-0.70","13077","4.36","22083","2.58","67178","0.85","1300","2.28"
"001880","DL건설 ","27900","-550","-1.93","7953","3.51","6934","4.02","34403","0.81","550","1.97"
"000215","DL우 ","35350","-700","-1.94",,,,,,,"1350","3.82"
"375500","DL이앤씨 ","129500","-1500","-1.15",,,"29855","4.34",,,"0","0.00"
"37550K","DL이앤씨우 ","68500","-100","-0.15",,,,,,,"0","0.00"
"068790","DMS ","6370","-50","-0.78","1718","3.71",,,"9256","0.69","100","1.57"
"004840","DRB동일 ","5010","-50","-0.99","121","41.40",,,"17702","0.28","50","1.00"
"241520","DSC인베스트먼트 ","5720","-40","-0.69","890","6.43",,,"2144","2.67","0","0.00"
"155660","DSR ","5730","170","3.06","558","10.27",,,"10087","0.57","50","0.87"
"069730","DSR제강 ","4670","10","0.21","367","12.72",,,"10157","0.46","40","0.86"
"017940","E1 ","46500","-1050","-2.21","10427","4.46",,,"172701","0.27","2200","4.73"
"245620","EDGC ","3830","-75","-1.92",,,,,"839","4.56","0","0.00"
"037370","EG ","11750","300","2.62",,,,,"6155","1.91","0","0.00"
"079190","EMW ","1290","-20","-1.53",,,,,"890","1.45","0","0.00"
"050120","ES큐브 ","5270","20","0.38",,,,,"5120","1.03","0","0.00"
"383220","F&F ","820000","0","0.00",,,"54605","15.02",,,"0","0.00"
"007700","F&F홀딩스 ","27200","-300","-1.09","5599","4.86",,,"35801","0.76","1000","3.68"
"214270","FSN ","7300","110","1.53",,,,,"2845","2.57","0","0.00"
"130500","GH신소재 ","6060","30","0.50","5","1212.00",,,"3780","1.60","0","0.00"
"114090","GKL ","14000","-100","-0.71",,,"98","143.33","7863","1.78","0","0.00"
"078930","GS ","41150","-750","-1.79",,,"13268","3.10","88213","0.47","1900","4.62"
"083450","GST ","31700","-100","-0.31","1788","17.73",,,"11872","2.67","150","0.47"
"006360","GS건설 ","43700","-500","-1.13","3919","11.15","6782","6.44","51311","0.85","1200","2.75"
"001250","GS글로벌 ","2465","-35","-1.40",,,,,"3465","0.71","0","0.00"
"007070","GS리테일 ","26500","400","1.53","2187","12.12","3219","8.23","29928","0.89","900","3.40"
"078935","GS우 ","34600","-150","-0.43",,,,,,,"1950","5.64"
"297890","HB솔루션 ","18750","250","1.35",,,,,"5127","3.66","0","0.00"
"078150","HB테크놀러지 ","2415","35","1.47","47","51.38",,,"2086","1.16","20","0.83"
"012630","HDC ","7700","-60","-0.77","1869","4.12",,,"37479","0.21","250","3.25"
"039570","HDC랩스 ","10500","-100","-0.94","1012","10.38",,,"9958","1.05","400","3.81"
